,label,dim_0,dim_1,layer,fold,text,iteration
37,Moscow,1.2590762376785278,-1.2037590742111206,output,train,What is this capital of russia,10
38,London,-2.058560371398926,-0.65192711353302,average,train,What is this capital of england,10
39,London,0.33037954568862915,0.030709028244018555,output,train,What is this capital of england,10
40,Rouble,1.8512645959854126,-0.21983754634857178,average,train,What 's russia 's currency,10
41,Rouble,0.05742863193154335,0.23530179262161255,output,train,What 's russia 's currency,10
42,Pound,3.8972432613372803,-1.0270943641662598,average,train,What 's england 's currency,10
43,Pound,0.10465871542692184,0.2912907600402832,output,train,What 's england 's currency,10
44,Moscow,-0.4324883222579956,-0.7459990978240967,average,train,What 's russia 's capital,10
45,Moscow,0.10465871542692184,0.2912907600402832,output,train,What 's russia 's capital,10
46,London,1.613490343093872,-1.5532557964324951,average,train,What 's england 's capital,10
47,London,0.10465871542692184,0.2912907600402832,output,train,What 's england 's capital,10
48,Rouble,0.17881718277931213,0.1622077226638794,average,dev,What currency is used in russia,10
49,Rouble,0.0046277716755867004,0.17270895838737488,output,dev,What currency is used in russia,10
50,Pound,2.2247960567474365,-0.6450490951538086,average,dev,What currency is used in england,10
51,Pound,0.10465871542692184,0.2912907600402832,output,dev,What currency is used in england,10
52,Moscow,-2.928335189819336,0.7592763304710388,average,dev,What is the capital and largest city of russia,10
53,Moscow,0.9929119944572449,-1.1533429622650146,output,dev,What is the capital and largest city of russia,10
54,London,-0.8823562860488892,-0.04798048734664917,average,dev,What is the capital and largest city of england,10
55,London,0.11664809286594391,0.14328166842460632,output,dev,What is the capital and largest city of england,10
56,Rouble,1.1520557403564453,0.30650705099105835,average,dev,What 's the currency in russia,10
57,Rouble,-0.026366062462329865,0.13596726953983307,output,dev,What 's the currency in russia,10
58,Pound,3.1980345249176025,-0.5007497668266296,average,dev,What 's the currency in england,10
59,Pound,0.09544640779495239,0.2803700268268585,output,dev,What 's the currency in england,10
60,Moscow,-1.9550963640213013,0.9035756587982178,average,dev,What 's the capital of russia,10
61,Moscow,0.6936099529266357,-0.880338191986084,output,dev,What 's the capital of russia,10
62,London,0.0908823013305664,0.09631887078285217,average,dev,What 's the capital of england,10
63,London,0.016325511038303375,0.18657605350017548,output,dev,What 's the capital of england,10
64,Rouble,-1.8071550130844116,0.6117150783538818,average,train,What is this currency of russia,20
65,Rouble,0.8427216410636902,-0.25841814279556274,output,train,What is this currency of russia,20
66,Pound,0.23540794849395752,-0.19498251378536224,average,train,What is this currency of england,20
67,Pound,0.331246554851532,0.5176791548728943,output,train,What is this currency of england,20
68,Moscow,-4.087843894958496,0.07779455184936523,average,train,What is this capital of russia,20
69,Moscow,1.4456324577331543,-0.7654524445533752,output,train,What is this capital of russia,20
70,London,-2.045280694961548,-0.72890305519104,average,train,What is this capital of england,20
71,London,0.47630077600479126,0.3506600856781006,output,train,What is this capital of england,20
72,Rouble,1.8559215068817139,-0.2679676115512848,average,train,What 's russia 's currency,20
73,Rouble,0.331246554851532,0.5176791548728943,output,train,What 's russia 's currency,20
74,Pound,3.898484468460083,-1.0746651887893677,average,train,What 's england 's currency,20
75,Pound,0.331246554851532,0.5176791548728943,output,train,What 's england 's currency,20
76,Moscow,-0.42476707696914673,-0.8018881678581238,average,train,What 's russia 's capital,20
77,Moscow,0.331246554851532,0.5176791548728943,output,train,What 's russia 's capital,20
78,London,1.6177959442138672,-1.6085857152938843,average,train,What 's england 's capital,20
79,London,0.331246554851532,0.5176791548728943,output,train,What 's england 's capital,20
80,Rouble,0.1869276463985443,0.11833882331848145,average,dev,What currency is used in russia,20
81,Rouble,0.3029106557369232,0.4845290184020996,output,dev,What currency is used in russia,20
82,Pound,2.2294907569885254,-0.688358724117279,average,dev,What currency is used in england,20
83,Pound,0.331246554851532,0.5176791548728943,output,dev,What currency is used in england,20
84,Moscow,-2.9143998622894287,0.6946947574615479,average,dev,What is the capital and largest city of russia,20
85,Moscow,1.2336480617523193,-0.699757993221283,output,dev,What is the capital and largest city of russia,20
86,London,-0.87183678150177,-0.11200278997421265,average,dev,What is the capital and largest city of england,20
87,London,0.3411647379398346,0.5062591433525085,output,dev,What is the capital and largest city of england,20
88,Rouble,1.1570591926574707,0.26698440313339233,average,dev,What 's the currency in russia,20
89,Rouble,0.26155388355255127,0.43614575266838074,output,dev,What 's the currency in russia,20
90,Pound,3.19962215423584,-0.5397131443023682,average,dev,What 's the currency in england,20
91,Pound,0.331246554851532,0.5176791548728943,output,dev,What 's the currency in england,20
92,Moscow,-1.9442682266235352,0.8433404564857483,average,dev,What 's the capital of russia,20
93,Moscow,0.939499020576477,-0.4570698142051697,output,dev,What 's the capital of russia,20
94,London,0.09829473495483398,0.03664284944534302,average,dev,What 's the capital of england,20
95,London,0.31839558482170105,0.5026448369026184,output,dev,What 's the capital of england,20
96,Rouble,-1.807244896888733,0.6107821464538574,average,train,What is this currency of russia,30
97,Rouble,1.0915412902832031,-0.009068787097930908,output,train,What is this currency of russia,30
98,Pound,0.23501181602478027,-0.1991439014673233,average,train,What is this currency of england,30
99,Pound,0.5798195600509644,0.7659614086151123,output,train,What is this currency of england,30
100,Moscow,-4.087937355041504,0.07681763172149658,average,train,What is this capital of russia,30
101,Moscow,1.6938538551330566,-0.5167655944824219,output,train,What is this capital of russia,30
102,London,-2.0456809997558594,-0.733108401298523,average,train,What is this capital of england,30
103,London,0.7233603596687317,0.6006849408149719,output,train,What is this capital of england,30
104,Rouble,1.8564376831054688,-0.26252511143684387,average,train,What 's russia 's currency,30
105,Rouble,0.5798195600509644,0.7659614086151123,output,train,What 's russia 's currency,30
106,Pound,3.8986942768096924,-1.072451114654541,average,train,What 's england 's currency,30
107,Pound,0.5798195600509644,0.7659614086151123,output,train,What 's england 's currency,30
108,Moscow,-0.4242548942565918,-0.7964895963668823,average,train,What 's russia 's capital,30
109,Moscow,0.5798195600509644,0.7659614086151123,output,train,What 's russia 's capital,30
110,London,1.6180016994476318,-1.6064156293869019,average,train,What 's england 's capital,30
111,London,0.5798195600509644,0.7659614086151123,output,train,What 's england 's capital,30
112,Rouble,0.18700671195983887,0.11917734146118164,average,dev,What currency is used in russia,30
113,Rouble,0.5518426299095154,0.7332311868667603,output,dev,What currency is used in russia,30
114,Pound,2.2292633056640625,-0.6907486915588379,average,dev,What currency is used in england,30
115,Pound,0.5798195600509644,0.7659614086151123,output,dev,What currency is used in england,30
116,Moscow,-2.9144091606140137,0.694603681564331,average,dev,What is the capital and largest city of russia,30
117,Moscow,1.4826587438583374,-0.4508882761001587,output,dev,What is the capital and largest city of russia,30
118,London,-0.8721526861190796,-0.1153222918510437,average,dev,What is the capital and largest city of england,30
119,London,0.5885431170463562,0.7559168934822083,output,dev,What is the capital and largest city of england,30
120,Rouble,1.15739905834198,0.27056777477264404,average,dev,What 's the currency in russia,30
121,Rouble,0.5098839998245239,0.6841438412666321,output,dev,What 's the currency in russia,30
122,Pound,3.199655532836914,-0.5393581986427307,average,dev,What 's the currency in england,30
123,Pound,0.5798195600509644,0.7659614086151123,output,dev,What 's the currency in england,30
124,Moscow,-1.944016933441162,0.8459940552711487,average,dev,What 's the capital of russia,30
125,Moscow,1.1888957023620605,-0.21004170179367065,output,dev,What 's the capital of russia,30
126,London,0.09823966026306152,0.03606802225112915,average,dev,What 's the capital of england,30
127,London,0.5676137208938599,0.7516818046569824,output,dev,What 's the capital of england,30
128,Rouble,-1.8072781562805176,0.610446572303772,average,train,What is this currency of russia,40
129,Rouble,1.3394641876220703,0.23871833086013794,output,train,What is this currency of russia,40
130,Pound,0.23465752601623535,-0.20284941792488098,average,train,What is this currency of england,40
131,Pound,0.8279957175254822,1.013765573501587,output,train,What is this currency of england,40
132,Moscow,-4.087987899780273,0.0763012170791626,average,train,What is this capital of russia,40
133,Moscow,1.9418447017669678,-0.2687479257583618,output,train,What is this capital of russia,40
134,London,-2.0460522174835205,-0.736994743347168,average,train,What is this capital of england,40
135,London,0.9701383113861084,0.8500989675521851,output,train,What is this capital of england,40
136,Rouble,1.8570232391357422,-0.25636768341064453,average,train,What 's russia 's currency,40
137,Rouble,0.8279957175254822,1.013765573501587,output,train,What 's russia 's currency,40
138,Pound,3.898959159851074,-1.0696637630462646,average,train,What 's england 's currency,40
139,Pound,0.8279957175254822,1.013765573501587,output,train,What 's england 's currency,40
140,Moscow,-0.4236863851547241,-0.7905130386352539,average,train,What 's russia 's capital,40
141,Moscow,0.8279957175254822,1.013765573501587,output,train,What 's russia 's capital,40
142,London,1.6182492971420288,-1.603809118270874,average,train,What 's england 's capital,40
143,London,0.8279957175254822,1.013765573501587,output,train,What 's england 's capital,40
144,Rouble,0.1871308982372284,0.1204901933670044,average,dev,What currency is used in russia,40
145,Rouble,0.7996522188186646,0.9806064963340759,output,dev,What currency is used in russia,40
146,Pound,2.2290663719177246,-0.692805826663971,average,dev,What currency is used in england,40
147,Pound,0.8279957175254822,1.013765573501587,output,dev,What currency is used in england,40
148,Moscow,-2.9143807888031006,0.694911539554596,average,dev,What is the capital and largest city of russia,40
149,Moscow,1.7307567596435547,-0.20343339443206787,output,dev,What is the capital and largest city of russia,40
150,London,-0.8724452257156372,-0.11838454008102417,average,dev,What is the capital and largest city of england,40
151,London,0.8356175422668457,1.0049896240234375,output,dev,What is the capital and largest city of england,40
152,Rouble,1.1577932834625244,0.27471503615379333,average,dev,What 's the currency in russia,40
153,Rouble,0.7570486068725586,0.9307644963264465,output,dev,What 's the currency in russia,40
154,Pound,3.1997287273406982,-0.5385810136795044,average,dev,What 's the currency in england,40
155,Pound,0.8279957175254822,1.013765573501587,output,dev,What 's the currency in england,40
156,Moscow,-1.9437185525894165,0.8491362929344177,average,dev,What 's the capital of russia,40
157,Moscow,1.4373688697814941,0.03548401594161987,output,dev,What 's the capital of russia,40
158,London,0.09821712970733643,0.03584027290344238,average,dev,What 's the capital of england,40
159,London,0.8157370686531067,0.999424159526825,output,dev,What 's the capital of england,40
